aX	aY	aZ	gX	gY	gZ	
-1.3823	0.5336	1.6597	-384.4604	-159.4849	-180.2368
-1.4373	0.6503	1.9662	-283.2031	-103.9429	-131.6528
-1.4366	0.7255	2.0609	-180.6641	-51.5747	-76.5381
-1.3844	0.6917	1.9148	-88.9893	-4.0283	-23.0713
-1.0865	0.6072	1.6881	-16.6016	43.0298	19.1040
-0.7338	0.5222	1.4402	33.6914	78.9185	51.8188
-0.4847	0.4008	1.2043	64.0259	94.2383	72.2656
-0.2798	0.2405	1.0314	77.3315	88.6841	78.3081
-0.1572	0.0969	0.9763	78.7964	64.9414	75.5005
-0.1943	-0.0337	0.9602	77.8809	31.0059	69.0308
-0.3075	-0.1500	0.9135	79.2236	-0.1831	62.5000
-0.4402	-0.2657	0.8583	83.3740	-19.3481	57.6782
-0.5758	-0.3767	0.8491	91.9800	-23.4375	55.7251
-0.6495	-0.5129	0.8173	108.6426	-12.2070	57.8003
-0.6250	-0.6316	0.7743	131.2256	6.4697	62.7441
-0.5607	-0.7058	0.7227	155.8838	22.7051	72.4487
-0.4836	-0.8431	0.5906	181.0913	42.3584	73.9136
-0.4423	-0.8772	0.4735	197.2656	62.4390	73.1201
-0.3496	-0.9274	0.3599	200.1953	63.5376	82.8247
-0.2489	-0.9606	0.2515	193.3594	60.7910	89.7827
-0.1534	-0.9664	0.2352	177.6733	57.9834	93.3228
-0.1241	-0.9535	0.2816	159.6069	51.2085	90.5762
-0.1902	-0.9219	0.3757	146.4844	38.8184	83.5571
-0.2352	-0.9242	0.4292	144.3481	26.4282	77.5757
-0.2758	-0.9023	0.4445	151.6724	21.7896	73.5474
-0.3311	-0.8945	0.4058	167.8467	28.1982	68.4204
-0.3688	-0.9030	0.3571	188.2935	46.4478	61.3403
-0.3496	-0.9081	0.2506	208.3740	73.6084	53.3447
-0.2302	-0.9489	0.0963	221.7407	104.3091	46.3257
-0.0463	-1.0037	0.0065	221.2524	127.8687	44.0063
0.1047	-1.0292	-0.0326	208.7402	137.4512	44.4336
0.1833	-1.0527	-0.0428	188.9648	130.8594	45.8984
0.2081	-1.0718	0.0081	166.1987	105.7739	46.6919
0.1600	-1.0363	0.0828	147.9492	69.7021	47.2412
0.0439	-0.9938	0.0970	138.0005	36.0107	50.5981
-0.0593	-0.9730	0.0742	135.6201	18.0664	54.2603
-0.1134	-0.9567	0.0455	138.6719	15.2588	55.4199
-0.1343	-0.9534	-0.0520	145.1416	24.3530	54.1992
-0.1078	-0.9872	-0.1510	149.9023	42.3584	49.8657
-0.0262	-1.0267	-0.2039	146.9116	64.3311	44.2505
0.0552	-1.0851	-0.2645	135.6812	78.2471	39.1235
0.1445	-1.1208	-0.2906	116.5771	77.3315	34.7290
0.2058	-1.1130	-0.2789	93.3228	60.3027	30.7617
0.1753	-1.0790	-0.2506	72.7539	33.3252	27.1606
0.1075	-1.0522	-0.2344	59.4482	7.6904	24.7192
0.0166	-1.0144	-0.2214	53.6499	-8.7280	23.1323
-0.0699	-0.9877	-0.1752	56.3354	-10.6812	21.8506
-0.1477	-0.9784	-0.1907	67.3828	1.3428	20.9351
-0.1404	-1.0112	-0.3027	79.6509	22.2168	21.1792
-0.0618	-1.0452	-0.3485	83.4961	45.4102	21.4844
0.0039	-1.0812	-0.3835	78.5522	64.3311	20.7520
0.0721	-1.0988	-0.3727	67.6270	72.0215	18.1274
0.1171	-1.0812	-0.3621	55.9692	65.5518	15.3809
0.1161	-1.0424	-0.3448	47.3022	52.3682	12.7563
0.0739	-1.0071	-0.3286	44.8608	40.4663	10.4980
0.0107	-0.9913	-0.3210	48.4619	34.6069	9.4604
